txhash,fromaddress,toaddress,amount,label,risk_score,rank
a5e38f02d2ade25fe19600cd380e080485151225511e51d269d94432ccb22ee6,bc1qmpgugequjgp9z99j2pylf3qpw87fj7vwjfm6ev,bc1q533d9nuatdz8j926x9ezmsugv2hu82d3hypzda,2.6679967,1,0.9992405541608739,1
005de974b5b73da494072050145e9ab2df1da778e0be9f6cfe57d5ba55cc996a,bc1p6k7s7ne0rlfrjh5zcyvuguz89y5xvhfj3tdq9vx5tc7tmahksd2swxcdxx,1PaZxnTaE825x2ZmjYfJ7TEQXugi3X7YqV,1.45089629,1,0.9992290028464003,2
dc00ca5d6c0b63286044fe215f7b15140ef8e3f5c678ca94891c9d2dba5881ac,bc1q66v020yllcp6g36awf6tvp0eld0km58qeeq6z6,bc1q8d6cluyekc57d5vx58y6dr5uzt9fq5kzpx2k4x,0.77413057,0,0.9992290028464003,3
0215acdba6eb63892750d3e9cb461c5f7b7a766ee63d3b7abffbe8793a85f2f1,bc1p0evja4dys44pqrzv2l56ceucdtdkg2xnrdrpsvlrnl2vggcex0ass3t0qv,bc1pcqqsf2vunejl9l2g9k5lndwms7h44hgk3uup7qz7whu2dt0lxpqs6pg3r6,1.20171514,1,0.9992290028464003,4
76c9a72a62b33a85da5e316324d73ced8b1761e055c179f646c2b31c1604c6d6,bc1qcrn94409yg6xwwak86dktq5qzgnf95avn6603z,bc1q43727w99qpg58ykswgzvfth7skvaagd9l03ppp,0.99998352,0,0.9992290028464003,5
0fd9aac53ff560140f7ae6467b1f4467152246a17e802b1fa3b5926fbd7c4466,bc1q9f8qkvywxp06upuf6hu097meu64kqnvjck2sx9,bc1q8d6cluyekc57d5vx58y6dr5uzt9fq5kzpx2k4x,0.98532,1,0.9992290028464003,6
461e4ddd8d8e24fa151b3fc5b67b969cc70490fd0e52a2612f0d0ad3b379ccc1,bc1qxwka2pl8n6xlsn8gj0gcvg3wuu6ta53kxnk2gx,bc1q8d6cluyekc57d5vx58y6dr5uzt9fq5kzpx2k4x,0.7373,0,0.9992290028464003,7
2097c61211546bba7e702eaf0a5a776ac0704eb87650ac98075ceba69a702add,bc1qpczhlgclw8w6yjazu2x2u66sa52yf3jmghfv0v,bc1q7qd0q4jutdlt4vy6ekhqfy8j3t2ul0dznz67l5,1.04534192,1,0.9992290028464003,8
4c55ba3b21cd30897e41ce26b160d2b6e7ed4d1cb7cbdd21f6163a58aa7732e5,bc1qgu8kef49sguf930mmxchzlpsuk6z70whjm89k7,bc1q8d6cluyekc57d5vx58y6dr5uzt9fq5kzpx2k4x,0.88540324,0,0.9992290028464003,9
557555d8cae57c6f0ab9aec51eeafc2cf726c59566c78728ec39438cf05e500d,bc1quytw96ejcqsahtj70uf90hqqnnmej9h64ryw0k,bc1q8d6cluyekc57d5vx58y6dr5uzt9fq5kzpx2k4x,0.74739,0,0.9992290028464003,10
5bac8305c66fdce0ef30efbedef10a2a236958c1cdfcaab19ae9da222e569b2e,18zBbG1WEWXDkZsfyr8Upya8us3xuEaqF6,186Lo5wnzAe8X3zhmd8RCXdHXY6RiD2aAt,1.83000415,1,0.9992290028464003,11
624ca5d53529725b654c6c7bdd7e27cd7a91fa6f5a77b95d227563be866db37c,bc1qqntt66npvzqyxflqh35sfqj23sdp6gmqrx9x0d,bc1q8d6cluyekc57d5vx58y6dr5uzt9fq5kzpx2k4x,0.77411683,0,0.9992290028464003,12
914857ee3fdcbb44c91f3bf32f260bad14cde853b12ca0021761dbe76199b0a6,bc1qkfd3w7yy6uwlmttcva53agdx9txk334hzppmrq,bc1qlfuekaz49j0rmzhetue5uvvluvduqr2lrk7a7c,1.72459232,1,0.9992290028464003,13
86149419effdad396c64ca2f2df9253adeacc5632aebd6f6e3e98465dc14219a,bc1pe7lhzep6gsrmrmkp82gy5yerhlre6a80h5266dafu2enw562spyqhz00zp,bc1q533d9nuatdz8j926x9ezmsugv2hu82d3hypzda,1.76357922,1,0.9992290028464003,14
0d92cf53f1666264094a8e3052a70f43c491af8aaafa9fb56da7907ea5de7451,bc1qvwz9yk02z5t4zxl4nj39wkegemtfppqnutuldm,bc1q3c0x2ypwgnlx7wfv2sdltwl5s6mn2csp0qvfn3,0.96095965,1,0.9992290028464003,15
72a52fa5e43bbad83773ff1bd61a965891b71edf7120cc471716099eaf20630f,bc1qy9mdd7kyw2vcyrq0ehk4r86r29xlnrq4mt805j,bc1quk546yswrn6hphala0pe7y6khg25850aau6gdv,0.74269335,1,0.9992290028464003,16
2ea9f8c00bdb58e296512ebd6dd085f26f6a3697fccc614a7a4db8b55ee47bd2,bc1qxwzxgyuluh6x66xr2d2lzrl9wm2y8tjgy6napp,bc1qy9mdd7kyw2vcyrq0ehk4r86r29xlnrq4mt805j,1.54269837,1,0.9992290028464003,17
46f67854c5ae7078c259d26a44e37330f0f1e79e2b5fca502e76f3a139b02ab8,bc1qcrn94409yg6xwwak86dktq5qzgnf95avn6603z,bc1q43727w99qpg58ykswgzvfth7skvaagd9l03ppp,0.99998512,0,0.9992290028464003,18
f1280be7bb39a5e886ac985cf4eb65489b7b30d695e529710e4dd809e71a2384,bc1qflrvd3t6uhrx8mkfd2hzaxd99mlyd2jt0e3h0d,bc1qphxkfu9yp2uxeu89udhcn9lc4lchlf6kakwzjg,1.67629013,1,0.9992290028464003,19
08581fcef5e0c1152549aa344bc7c9a6519ef9853ba31c73b684086c66a921a6,bc1q9y3k5lf29577u5dyu5yt8xh3h394sum4w0030l,bc1qm7gfmjrgml7t89t25770algte8fsttfn0wr5yc,1.22000169,1,0.9992290028464003,20
c86ce7f7c7fc131a938af61b90016e11f4da59368e95ed5f272546f44cc06527,bc1pk3wwyunkq6gts6m8qutw6aef4addwge2j2h3hmhp69fzcw8em4gqay3w8j,bc1p6k7s7ne0rlfrjh5zcyvuguz89y5xvhfj3tdq9vx5tc7tmahksd2swxcdxx,1.45104129,1,0.9992290028464003,21
786aaf3a75abe448e99bf85bf0c29454135763e7f76d8d6663d8ee224a12f7ef,bc1qu5mm6vwry74vemp2lpwws0atcs3hc5atyz3yme,bc1q08cwdafxyhsjmlw2z049gje93xsaj05c9vt4a5,0.7999978,1,0.9992290028464003,22
